Variedad,Fecha,RendimientoPromedio,RendimientoDesviacion,pct05,pct25,pct50,pct75,pct95,
PIO 30F35HRB,2016-10-01,11057.6,650.4,10307,10498,10921,11119,12315,
PIO 30F35HRB,2016-10-02,11057.6,650.4,10307,10498,10921,11119,12315,
PIO 30F35HRB,2016-10-03,11057.6,650.4,10307,10498,10921,11119,12315,
PIO 30F35HRB,2016-10-04,11057.6,650.4,10307,10498,10921,11119,12315,
PIO 30F35HRB,2016-10-05,11057.6,650.4,10307,10498,10921,11119,12315,
PIO 30F35HRB,2016-10-06,10314.4,602.2,8974,10109,10315,10772,11207,
PIO 30F35HRB,2016-10-07,10314.4,602.2,8974,10109,10315,10772,11207,
PIO 30F35HRB,2016-10-08,10314.4,602.2,8974,10109,10315,10772,11207,
PIO 30F35HRB,2016-10-09,10314.4,602.2,8974,10109,10315,10772,11207,
PIO 30F35HRB,2016-10-10,10314.4,602.2,8974,10109,10315,10772,11207,
PIO 30F35HRB,2016-10-11,10581.3,913.7,8930,9800,10910,11457,11729,
PIO 30F35HRB,2016-10-12,10581.3,913.7,8930,9800,10910,11457,11729,
PIO 30F35HRB,2016-10-13,10581.3,913.7,8930,9800,10910,11457,11729,
PIO 30F35HRB,2016-10-14,10581.3,913.7,8930,9800,10910,11457,11729,
PIO 30F35HRB,2016-10-15,10581.3,913.7,8930,9800,10910,11457,11729,
PIO 30F35HRB,2016-10-16,10897.7,763.5,9074,10516,11177,11420,11864,
PIO 30F35HRB,2016-10-17,10897.7,763.5,9074,10516,11177,11420,11864,
PIO 30F35HRB,2016-10-18,10897.7,763.5,9074,10516,11177,11420,11864,
PIO 30F35HRB,2016-10-19,10897.7,763.5,9074,10516,11177,11420,11864,
PIO 30F35HRB,2016-10-20,10897.7,763.5,9074,10516,11177,11420,11864,
PIO 30F35HRB,2016-10-21,10737.4,886.5,9126,10200,10850,11305,11944,
PIO 30F35HRB,2016-10-22,10737.4,886.5,9126,10200,10850,11305,11944,
PIO 30F35HRB,2016-10-23,10737.4,886.5,9126,10200,10850,11305,11944,
PIO 30F35HRB,2016-10-24,10737.4,886.5,9126,10200,10850,11305,11944,
PIO 30F35HRB,2016-10-25,10737.4,886.5,9126,10200,10850,11305,11944,
PIO 30F35HRB,2016-10-26,11113.2,981.6,9837,10209,10920,11516,13290,
PIO 30F35HRB,2016-10-27,11113.2,981.6,9837,10209,10920,11516,13290,
PIO 30F35HRB,2016-10-28,11113.2,981.6,9837,10209,10920,11516,13290,
PIO 30F35HRB,2016-10-29,11113.2,981.6,9837,10209,10920,11516,13290,
PIO 30F35HRB,2016-10-30,11113.2,981.6,9837,10209,10920,11516,13290,
PIO 30F35HRB,2016-10-31,10434.5,767.5,8834,10131,10403,10696,11847,
PIO 30F35HRB,2016-11-01,10434.5,767.5,8834,10131,10403,10696,11847,
