Variedad,Fecha,RendimientoPromedio,RendimientoDesviacion,pct05,pct25,pct50,pct75,pct95,
PIO 30F35HRB,2016-10-01,10357.5,705.2,9477,9941,9996,11104,11696,
PIO 30F35HRB,2016-10-02,10357.5,705.2,9477,9941,9996,11104,11696,
PIO 30F35HRB,2016-10-03,10357.5,705.2,9477,9941,9996,11104,11696,
PIO 30F35HRB,2016-10-04,10357.5,705.2,9477,9941,9996,11104,11696,
PIO 30F35HRB,2016-10-05,10357.5,705.2,9477,9941,9996,11104,11696,
PIO 30F35HRB,2016-10-06,10473,732.4,9261,10112,10442,10939,11821,
PIO 30F35HRB,2016-10-07,10473,732.4,9261,10112,10442,10939,11821,
PIO 30F35HRB,2016-10-08,10473,732.4,9261,10112,10442,10939,11821,
PIO 30F35HRB,2016-10-09,10473,732.4,9261,10112,10442,10939,11821,
PIO 30F35HRB,2016-10-10,10473,732.4,9261,10112,10442,10939,11821,
PIO 30F35HRB,2016-10-11,10930.6,712.5,9722,10349,10622,11378,12101,
PIO 30F35HRB,2016-10-12,10930.6,712.5,9722,10349,10622,11378,12101,
PIO 30F35HRB,2016-10-13,10930.6,712.5,9722,10349,10622,11378,12101,
PIO 30F35HRB,2016-10-14,10930.6,712.5,9722,10349,10622,11378,12101,
PIO 30F35HRB,2016-10-15,10930.6,712.5,9722,10349,10622,11378,12101,
PIO 30F35HRB,2016-10-16,10821.9,897.3,8666,10375,10911,11485,11789,
PIO 30F35HRB,2016-10-17,10821.9,897.3,8666,10375,10911,11485,11789,
PIO 30F35HRB,2016-10-18,10821.9,897.3,8666,10375,10911,11485,11789,
PIO 30F35HRB,2016-10-19,10821.9,897.3,8666,10375,10911,11485,11789,
PIO 30F35HRB,2016-10-20,10821.9,897.3,8666,10375,10911,11485,11789,
PIO 30F35HRB,2016-10-21,10069.5,858.2,9017,9223,10210,10776,11496,
PIO 30F35HRB,2016-10-22,10069.5,858.2,9017,9223,10210,10776,11496,
PIO 30F35HRB,2016-10-23,10069.5,858.2,9017,9223,10210,10776,11496,
PIO 30F35HRB,2016-10-24,10069.5,858.2,9017,9223,10210,10776,11496,
PIO 30F35HRB,2016-10-25,10069.5,858.2,9017,9223,10210,10776,11496,
PIO 30F35HRB,2016-10-26,10247.3,757.4,8688,9862,10135,11042,11237,
PIO 30F35HRB,2016-10-27,10247.3,757.4,8688,9862,10135,11042,11237,
